日付,受給者証番号,児童名,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,12:30,睡眠(21:00),睡眠(4:00),睡眠(7:00)
2025-04-01,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,○
2025-04-02,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-04-03,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-04-06,9200364314,溝口一花,○,○,×,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×
2025-04-07,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,×,○,○,○,−,○,×,○
2025-04-08,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,×,○,○,○,○,○,○,○
2025-04-09,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,×,×,×
2025-04-10,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,×,○,○,○,−,○,○,○
2025-04-13,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-04-14,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,×,○,○,○,○,○,○,○,○
2025-04-16,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-04-17,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,−,×,○,○
2025-04-20,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,○,○
2025-04-21,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,×,○,○,○,○,○,−,○,○,○
2025-04-22,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×
2025-04-23,9200364314,溝口一花,×,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-04-24,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-04-28,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,×,○,○
2025-04-29,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-04-30,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
