日付,受給者証番号,児童名,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,12:30,睡眠(22:00),睡眠(4:00),睡眠(7:00)
2025-04-01,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-04-02,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-04-04,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×
2025-04-05,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-04-08,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,○
2025-04-09,9200809896,林夏渚,○,○,○,○,○,○,○,○,×,○,○,○,○,○,○,○,−,○,○,○
2025-04-10,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-04-11,9200809896,林夏渚,○,○,○,○,○,○,○,×,○,○,○,○,○,○,○,○,○,○,○,○
2025-04-12,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-04-18,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-04-19,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-04-21,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-04-22,9200809896,林夏渚,○,○,×,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-04-25,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-04-26,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
