日付,受給者証番号,児童名,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,12:30,睡眠(22:00),睡眠(4:00),睡眠(7:00)
2025-06-03,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,○,○
2025-06-04,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-06-06,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-06-07,9200809896,林夏渚,○,○,○,×,○,○,○,○,○,○,○,○,○,○,×,○,−,○,○,○
2025-06-10,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-06-11,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-06-13,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-06-14,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-06-17,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,○
2025-06-18,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-06-20,9200809896,林夏渚,○,×,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-06-21,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-06-27,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,○
2025-06-28,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-06-29,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
