日付,受給者証番号,児童名,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,12:30,睡眠(21:00),睡眠(4:00),睡眠(7:00)
2025-09-01,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-09-02,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-09-03,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,×
2025-09-04,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-09-08,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-09-09,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-09-10,9200373703,小野凌来,○,○,○,○,×,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-09-11,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-09-15,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-09-16,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-09-17,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-09-18,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-09-19,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-09-20,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-09-22,9200373703,小野凌来,○,○,○,○,×,○,○,○,○,○,○,×,○,○,○,○,−,○,○,○
2025-09-23,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-09-24,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,×
2025-09-25,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-09-29,9200373703,小野凌来,○,○,○,○,○,×,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-09-30,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
