日付,受給者証番号,児童名,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,12:30,睡眠(22:00),睡眠(4:00),睡眠(7:00)
2025-11-02,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,×,○,○,○,○,○,○,○,○,○,○
2025-11-03,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-05,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,×,○,○,−,○,○,○
2025-11-06,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-07,9200809896,林夏渚,○,○,○,○,○,○,×,○,○,○,○,○,○,○,○,○,○,○,×,○
2025-11-08,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-12,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-13,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-14,9200809896,林夏渚,○,○,○,○,○,○,○,×,○,○,○,○,○,○,○,○,○,○,○,○
2025-11-15,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,×,○,○,○,○,○,○,−,○,×,○
2025-11-16,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,−,○,×,○
2025-11-17,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-19,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-20,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-11-21,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,×
2025-11-22,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,×
2025-11-26,9200809896,林夏渚,○,○,○,○,○,○,○,○,×,○,○,○,○,○,○,○,−,○,×,○
2025-11-27,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-28,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-11-29,9200809896,林夏渚,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
