日付,受給者証番号,児童名,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,12:30,睡眠(21:00),睡眠(4:00),睡眠(7:00)
2025-07-02,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-07-03,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-07-07,9200373703,小野凌来,○,○,○,○,○,○,○,○,×,○,○,○,○,○,○,○,−,○,○,○
2025-07-08,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-07-09,9200373703,小野凌来,○,○,○,○,○,×,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-07-10,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-07-11,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-07-12,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-07-14,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,×,○,○,○,○,○,−,○,×,○
2025-07-15,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-07-16,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-07-17,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-07-21,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-07-22,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,×,○,○,○,○,○,−,○,○,○
2025-07-23,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-07-24,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-07-28,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-07-29,9200373703,小野凌来,×,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,×
2025-07-30,9200373703,小野凌来,○,×,○,○,○,○,○,○,×,○,○,○,○,○,○,○,−,○,○,○
2025-07-31,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
