日付,受給者証番号,児童名,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,12:30,睡眠(21:00),睡眠(4:00),睡眠(7:00)
2026-02-01,9200373703,小野凌来,○,○,○,○,×,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2026-02-02,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,×,○,○,○,○,○,○,−,○,○,○
2026-02-03,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2026-02-04,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2026-02-05,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2026-02-08,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2026-02-09,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2026-02-10,9200373703,小野凌来,×,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2026-02-11,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2026-02-12,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2026-02-15,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2026-02-16,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2026-02-17,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2026-02-18,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2026-02-19,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,×,○,○,○,○,○,−,○,×,○
2026-02-22,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2026-02-23,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2026-02-24,9200373703,小野凌来,○,○,○,○,○,○,○,○,×,○,○,○,○,○,○,○,−,○,×,○
2026-02-25,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2026-02-26,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
