日付,受給者証番号,児童名,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,12:30,睡眠(21:00),睡眠(4:00),睡眠(7:00)
2025-11-03,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-11-04,9200373703,小野凌来,○,○,○,○,○,○,○,×,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-05,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-06,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,×
2025-11-10,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,×,○,○
2025-11-11,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-12,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,−,○,○,○
2025-11-13,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-17,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,×,○,○
2025-11-18,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-19,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,−,○,○,○
2025-11-20,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-21,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-22,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-24,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-25,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,×,○,○,○,−,○,○,○
2025-11-26,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-11-27,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-11-28,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,×,○,○,○,−,○,○,○
2025-11-29,9200373703,小野凌来,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
