日付,受給者証番号,児童名,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,12:30,睡眠(21:00),睡眠(4:00),睡眠(7:00)
2025-06-02,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-06-03,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-06-04,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,×,○,○,○,○,○,−,○,×,×
2025-06-05,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-06-07,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-06-08,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-06-11,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-06-12,9200364314,溝口一花,×,○,○,○,○,○,○,○,○,○,×,○,○,○,○,○,−,○,×,○
2025-06-16,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,×
2025-06-17,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-06-18,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-06-19,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,×,○,○,−,×,○,×
2025-06-20,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-06-21,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,○
2025-06-22,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-06-23,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-06-24,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-06-25,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-06-26,9200364314,溝口一花,○,○,○,○,○,○,×,○,○,○,×,○,○,○,○,○,−,○,○,○
2025-06-30,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,×,×,×
