日付,受給者証番号,児童名,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,12:30,睡眠(21:00),睡眠(4:00),睡眠(7:00)
2025-05-01,9200364314,溝口一花,○,○,○,○,○,○,○,×,○,○,○,○,○,○,○,○,−,○,○,○
2025-05-02,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-05-05,9200364314,溝口一花,○,○,○,○,○,×,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-05-06,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-05-07,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-05-08,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,×
2025-05-12,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-05-13,9200364314,溝口一花,○,○,○,○,○,○,×,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-05-14,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-05-15,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,×
2025-05-19,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-05-20,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
2025-05-21,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-05-22,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,×,○,○,○,−,○,○,○
2025-05-24,9200364314,溝口一花,○,×,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-05-25,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,○,○,○,×,○
2025-05-26,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-05-27,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,○
2025-05-28,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-05-29,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
