日付,受給者証番号,児童名,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,12:30,睡眠(21:00),睡眠(4:00),睡眠(7:00)
2025-10-01,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-10-02,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-10-06,9200364314,溝口一花,○,×,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-10-07,9200364314,溝口一花,○,×,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-10-08,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-10-09,9200364314,溝口一花,○,○,○,○,○,×,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-10-13,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-10-14,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-10-15,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-10-16,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,×
2025-10-17,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,−,○,×,○
2025-10-20,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,×
2025-10-21,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-10-22,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-10-23,9200364314,溝口一花,○,○,○,×,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-10-24,9200364314,溝口一花,○,○,○,○,○,○,×,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-10-27,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-10-28,9200364314,溝口一花,○,○,○,○,×,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
2025-10-29,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,○,○
2025-10-30,9200364314,溝口一花,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,−,○,×,○
