日付,曜日,送迎区分,送迎職員,介助者,送迎方法,車番,点呼確認による異常,利用者,開始時刻,終了時刻,備考
2025-09-01,月,夕迎え,只津,溝口,車,707,なし,①溝口一花 ②小野凌来 ③寺田菫,17:30,18:40,
2025-09-01,月,朝送り,只津,溝口,車,707,なし,①櫻井帆斗 ②溝口一花 ③小野凌来 ④櫻井麻智 ⑤寺田菫,7:40,8:40,
2025-09-02,火,夕迎え,只津,溝口,車,707,なし,①小松島駿俊汰 ②小松島咲花 ③小野凌来 ④溝口一花 ⑤林夏渚 ⑥櫻井斗麻 ⑦上田大和 ⑧櫻井帆斗 ⑨富永日向 ⑩櫻井麻智 ⑪寺田菫 ⑫園田葵,17:40,18:40,
2025-09-02,火,朝送り,只津,溝口,車,707,なし,①溝口一花 ②櫻井帆斗 ③上田大和 ④小松島咲花 ⑤小野凌来 ⑥小松島駿俊汰 ⑦富永日向 ⑧櫻井斗麻 ⑨園田葵 ⑩寺田菫,7:45,8:45,
2025-09-02,火,昼送り,只津,溝口,車,707,なし,①櫻井斗麻 ②林夏渚,12:40,13:20,
2025-09-03,水,夕迎え,只津,溝口,車,707,なし,①林夏渚 ②小松島駿俊汰 ③溝口一花 ④小野凌来 ⑤上田大和 ⑥小松島咲花 ⑦富永日向 ⑧園田葵,17:35,18:40,
2025-09-03,水,朝送り,只津,溝口,車,707,なし,①小松島咲花 ②櫻井麻智 ③富永日向 ④溝口一花 ⑤小松島駿俊汰 ⑥上田大和 ⑦櫻井帆斗 ⑧小野凌来 ⑨林夏渚 ⑩園田葵,7:50,8:45,
2025-09-04,木,夕迎え,只津,溝口,車,707,なし,①富永日向 ②林夏渚 ③溝口一花 ④上田海琴 ⑤櫻井麻智 ⑥上田大和 ⑦石原晴海 ⑧小野凌来 ⑨櫻井帆斗,17:30,18:20,
2025-09-04,木,朝送り,只津,溝口,車,707,なし,①上田大和 ②溝口一花 ③石原晴海 ④上田海琴 ⑤富永日向 ⑥櫻井帆斗 ⑦小野凌来 ⑧林夏渚 ⑨櫻井麻智,7:40,8:45,
2025-09-04,木,昼送り,只津,溝口,車,707,なし,①石原晴海 ②櫻井麻智,12:40,13:20,
2025-09-05,金,夕迎え,只津,溝口,車,707,なし,①富永日向 ②林夏渚 ③上田大和 ④石神陽菜 ⑤上田海琴 ⑥石原晴海 ⑦溝口一花 ⑧園田葵,17:35,18:40,
2025-09-05,金,朝送り,只津,溝口,車,707,なし,①上田大和 ②溝口一花 ③石神陽菜 ④上田海琴 ⑤石原晴海 ⑥林夏渚 ⑦園田葵,7:40,8:40,
2025-09-05,金,昼送り,只津,溝口,車,707,なし,①石原晴海 ②林夏渚,12:40,13:20,
