日付,曜日,送迎区分,送迎職員,介助者,送迎方法,車番,点呼確認による異常,利用者,開始時刻,終了時刻,備考
2025-05-01,木,夕迎え,只津,溝口,車,707,なし,①櫻井麻智 ②櫻井帆斗 ③溝口一花 ④園田柚真,17:30,18:40,
2025-05-01,木,朝送り,只津,溝口,車,707,なし,①櫻井帆斗 ②櫻井麻智 ③溝口一花 ④園田柚真,7:40,8:40,
2025-05-02,金,夕迎え,只津,溝口,車,707,なし,①溝口一花 ②藤川結梨 ③林大希 ④石神直都 ⑤富永日向 ⑥石神陽菜 ⑦林夏渚 ⑧園田葵,17:30,18:40,
2025-05-02,金,朝送り,只津,溝口,車,707,なし,①溝口一花 ②石神陽菜 ③林大希 ④石神直都 ⑤林夏渚 ⑥藤川結梨 ⑦富永日向 ⑧園田葵,7:50,8:40,
2025-05-02,金,昼送り,只津,溝口,車,707,なし,①林夏渚 ②石神直都,12:40,13:20,
2025-05-03,土,夕迎え,只津,溝口,車,707,なし,①石神陽菜 ②林夏渚 ③藤川結梨 ④富永日向 ⑤林大希 ⑥石神直都 ⑦鈴木応介 ⑧櫻井斗麻 ⑨園田葵,17:35,18:40,
2025-05-03,土,朝送り,只津,溝口,車,707,なし,①鈴木応介 ②石神陽菜 ③櫻井斗麻 ④富永日向 ⑤林大希 ⑥藤川結梨 ⑦林夏渚 ⑧石神直都 ⑨園田葵,7:40,8:45,
2025-05-03,土,昼送り,只津,溝口,車,707,なし,①石神直都,12:40,13:20,
2025-05-04,日,夕迎え,只津,溝口,車,707,なし,①富永日向 ②林夏渚 ③鈴木応介 ④櫻井斗麻,17:30,18:40,
2025-05-04,日,朝送り,只津,溝口,車,707,なし,①林夏渚 ②富永日向 ③櫻井斗麻 ④鈴木応介,7:45,8:40,
2025-05-04,日,昼送り,只津,溝口,車,707,なし,①富永日向 ②林夏渚 ③櫻井斗麻,12:40,13:20,
2025-05-05,月,夕迎え,只津,溝口,車,707,なし,①富永日向 ②林夏渚 ③溝口一花 ④寺田菫,17:40,18:40,
2025-05-05,月,朝送り,只津,溝口,車,707,なし,①溝口一花 ②櫻井斗麻 ③櫻井帆斗 ④櫻井麻智 ⑤富永日向 ⑥林夏渚 ⑦寺田菫,7:45,8:40,
2025-05-05,月,昼送り,只津,溝口,車,707,なし,①櫻井斗麻 ②林夏渚,12:40,13:20,
2025-05-06,火,夕迎え,只津,溝口,車,707,なし,①溝口一花 ②櫻井斗麻 ③櫻井帆斗 ④櫻井麻智 ⑤富永日向 ⑥寺田菫,17:40,18:40,
2025-05-06,火,朝送り,只津,溝口,車,707,なし,①富永日向 ②溝口一花 ③櫻井麻智 ④櫻井帆斗 ⑤櫻井斗麻,7:40,8:45,
2025-05-06,火,昼送り,只津,溝口,車,707,なし,①櫻井斗麻,12:40,13:20,
2025-05-07,水,夕迎え,只津,溝口,車,707,なし,①林夏渚 ②富永日向 ③溝口一花 ④園田葵 ⑤園田柚真,17:40,18:40,
2025-05-07,水,朝送り,只津,溝口,車,707,なし,①富永日向 ②櫻井帆斗 ③櫻井麻智 ④溝口一花 ⑤林夏渚 ⑥園田柚真 ⑦園田葵,7:50,8:40,
2025-05-08,木,夕迎え,只津,溝口,車,707,なし,①櫻井帆斗 ②溝口一花 ③櫻井麻智 ④林夏渚 ⑤櫻井斗麻 ⑥園田柚真 ⑦園田葵,17:35,18:40,
2025-05-08,木,朝送り,只津,溝口,車,707,なし,①溝口一花 ②櫻井帆斗 ③櫻井麻智 ④林夏渚 ⑤櫻井斗麻 ⑥園田葵 ⑦園田柚真,7:50,8:45,
2025-05-08,木,昼送り,只津,溝口,車,707,なし,①林夏渚 ②櫻井斗麻,12:40,13:20,
