日付,曜日,送迎区分,送迎職員,介助者,送迎方法,車番,点呼確認による異常,利用者,開始時刻,終了時刻,備考
2026-02-01,日,夕迎え,只津,溝口,車,707,なし,①向井永愛 ②向井瑠華 ③小野凌来 ④林大希 ⑤上田海琴 ⑥四宮鈴 ⑦上田千愛 ⑧上田大和 ⑨園田葵 ⑩園田柚真 ⑪寺田菫,17:40,18:40,
2026-02-01,日,朝送り,只津,溝口,車,707,なし,①林大希 ②上田海琴 ③四宮鈴 ④小野凌来 ⑤上田千愛 ⑥向井永愛 ⑦向井瑠華 ⑧上田大和 ⑨園田葵 ⑩寺田菫 ⑪園田柚真,7:50,8:40,
2026-02-01,日,昼送り,只津,溝口,車,707,なし,①向井瑠華 ②向井永愛 ③上田千愛 ④四宮鈴 ⑤林大希 ⑥園田柚真 ⑦園田葵 ⑧寺田菫,12:40,13:20,
2026-02-02,月,夕迎え,只津,溝口,車,707,なし,①富永日向 ②四宮鈴 ③藤崎柊威 ④松岡蘭 ⑤小野凌来 ⑥上田大和 ⑦溝口一花 ⑧小松島咲花 ⑨小松島駿俊汰 ⑩上田海琴 ⑪上田千愛 ⑫園田葵 ⑬寺田菫,17:30,18:40,
2026-02-02,月,朝送り,只津,溝口,車,707,なし,①上田海琴 ②小松島駿俊汰 ③上田大和 ④小野凌来 ⑤松岡蘭 ⑥四宮鈴 ⑦溝口一花 ⑧上田千愛 ⑨富永日向 ⑩藤崎柊威 ⑪小松島咲花 ⑫園田葵 ⑬寺田菫,7:50,8:45,
2026-02-03,火,夕迎え,只津,溝口,車,707,なし,①小松島咲花 ②小野凌来 ③富永日向 ④辻村優樹 ⑤松岡蘭 ⑥上田海琴 ⑦小松島駿俊汰 ⑧藤崎柊威 ⑨上田千愛 ⑩上田大和 ⑪四宮鈴 ⑫溝口一花 ⑬園田葵 ⑭寺田菫,17:35,18:40,
2026-02-03,火,朝送り,只津,溝口,車,707,なし,①松岡蘭 ②四宮鈴 ③小松島咲花 ④上田千愛 ⑤小野凌来 ⑥上田大和 ⑦溝口一花 ⑧藤崎柊威 ⑨上田海琴 ⑩小松島駿俊汰 ⑪辻村優樹 ⑫寺田菫 ⑬園田葵,7:40,8:45,
2026-02-04,水,夕迎え,只津,溝口,車,707,なし,①辻村優樹 ②林夏渚 ③溝口一花 ④上田大和 ⑤上田千愛 ⑥上田海琴 ⑦小野凌来 ⑧四宮鈴 ⑨林大希 ⑩富永日向 ⑪松岡蘭 ⑫園田葵,17:35,18:40,
2026-02-04,水,朝送り,只津,溝口,車,707,なし,①上田千愛 ②松岡蘭 ③上田海琴 ④辻村優樹 ⑤林大希 ⑥林夏渚 ⑦溝口一花 ⑧小野凌来 ⑨四宮鈴 ⑩上田大和 ⑪富永日向 ⑫園田葵,7:40,8:45,
2026-02-05,木,夕迎え,只津,溝口,車,707,なし,①溝口一花 ②上田千愛 ③上田大和 ④富永日向 ⑤林大希 ⑥小野凌来 ⑦四宮鈴 ⑧向井瑠華 ⑨林夏渚 ⑩松岡蘭 ⑪向井永愛 ⑫上田海琴,17:30,18:40,
