日付,曜日,送迎区分,送迎職員,介助者,送迎方法,車番,点呼確認による異常,利用者,開始時刻,終了時刻,備考
2025-06-01,日,夕迎え,只津,溝口,車,707,なし,①櫻井斗麻 ②富永日向 ③鈴木応介 ④寺田菫 ⑤園田葵,17:40,18:40,
2025-06-01,日,朝送り,只津,溝口,車,707,なし,①鈴木応介 ②富永日向 ③櫻井斗麻 ④寺田菫 ⑤園田葵,7:40,8:40,
2025-06-01,日,昼送り,只津,溝口,車,707,なし,①櫻井斗麻 ②富永日向 ③園田葵 ④寺田菫,12:40,13:20,
2025-06-02,月,夕迎え,只津,溝口,車,707,なし,①溝口一花 ②富永日向 ③寺田菫 ④園田葵,17:30,18:40,
2025-06-02,月,朝送り,只津,溝口,車,707,なし,①櫻井麻智 ②富永日向 ③櫻井斗麻 ④溝口一花 ⑤櫻井帆斗 ⑥寺田菫 ⑦園田葵,7:50,8:45,
2025-06-02,月,昼送り,只津,溝口,車,707,なし,①櫻井斗麻,12:40,13:20,
2025-06-03,火,夕迎え,只津,溝口,車,707,なし,①石神陽菜 ②溝口一花 ③富永日向 ④櫻井帆斗 ⑤櫻井麻智 ⑥櫻井斗麻 ⑦林夏渚,17:40,18:30,
2025-06-03,火,朝送り,只津,溝口,車,707,なし,①溝口一花 ②富永日向 ③櫻井斗麻 ④櫻井麻智 ⑤林夏渚 ⑥石神陽菜 ⑦櫻井帆斗,7:40,8:45,
2025-06-03,火,昼送り,只津,溝口,車,707,なし,①石神陽菜 ②溝口一花 ③櫻井斗麻 ④林夏渚,12:40,13:20,
2025-06-04,水,夕迎え,只津,溝口,車,707,なし,①石神陽菜 ②林夏渚 ③富永日向 ④溝口一花 ⑤園田葵 ⑥園田柚真,17:35,18:40,
2025-06-04,水,朝送り,只津,溝口,車,707,なし,①石神陽菜 ②林夏渚 ③櫻井麻智 ④櫻井帆斗 ⑤溝口一花 ⑥富永日向 ⑦園田葵 ⑧園田柚真,7:50,8:40,
2025-06-04,水,昼送り,只津,溝口,車,707,なし,①石神陽菜,12:40,13:20,
2025-06-05,木,夕迎え,只津,溝口,車,707,なし,①櫻井斗麻 ②溝口一花 ③櫻井麻智 ④櫻井帆斗 ⑤富永日向 ⑥園田葵 ⑦園田柚真,17:30,18:40,
2025-06-05,木,朝送り,只津,溝口,車,707,なし,①富永日向 ②溝口一花 ③櫻井帆斗 ④櫻井斗麻 ⑤櫻井麻智 ⑥園田葵 ⑦園田柚真,7:45,8:45,
2025-06-05,木,昼送り,只津,溝口,車,707,なし,①櫻井斗麻,12:40,13:20,
2025-06-06,金,夕迎え,只津,溝口,車,707,なし,①石神陽菜 ②櫻井斗麻 ③石神直都 ④富永日向 ⑤林大希 ⑥林夏渚 ⑦園田葵,17:40,18:40,
2025-06-06,金,朝送り,只津,溝口,車,707,なし,①富永日向 ②林大希 ③櫻井斗麻 ④石神直都 ⑤林夏渚 ⑥石神陽菜 ⑦園田葵,7:45,8:40,
2025-06-06,金,昼送り,只津,溝口,車,707,なし,①林夏渚 ②櫻井斗麻 ③石神直都,12:40,13:20,
2025-06-07,土,夕迎え,只津,溝口,車,707,なし,①櫻井斗麻 ②林大希 ③溝口一花 ④石神直都 ⑤林夏渚 ⑥富永日向 ⑦石神陽菜 ⑧園田葵 ⑨寺田菫,17:30,18:40,
2025-06-07,土,朝送り,只津,溝口,車,707,なし,①富永日向 ②櫻井斗麻 ③石神直都 ④石神陽菜 ⑤林大希 ⑥溝口一花 ⑦林夏渚 ⑧園田葵 ⑨寺田菫,7:50,8:45,
2025-06-07,土,昼送り,只津,溝口,車,707,なし,①石神直都 ②林大希 ③石神陽菜 ④溝口一花,12:40,13:20,
2025-06-08,日,夕迎え,只津,溝口,車,707,なし,①櫻井帆斗 ②溝口一花 ③櫻井麻智 ④櫻井斗麻 ⑤園田柚真 ⑥園田葵 ⑦寺田菫,17:40,18:40,
2025-06-08,日,朝送り,只津,溝口,車,707,なし,①櫻井帆斗 ②櫻井麻智 ③櫻井斗麻 ④園田葵 ⑤寺田菫 ⑥園田柚真,7:50,8:45,
2025-06-08,日,昼送り,只津,溝口,車,707,なし,①櫻井斗麻 ②櫻井麻智 ③溝口一花 ④櫻井帆斗 ⑤園田葵 ⑥寺田菫 ⑦園田柚真,12:40,13:20,
2025-06-09,月,夕迎え,只津,溝口,車,707,なし,①富永日向 ②林大希 ③園田葵 ④園田柚真 ⑤寺田菫,17:35,18:40,
2025-06-09,月,朝送り,只津,溝口,車,707,なし,①富永日向 ②櫻井帆斗 ③櫻井斗麻 ④櫻井麻智 ⑤園田柚真 ⑥園田葵 ⑦寺田菫,7:50,8:40,
2025-06-09,月,昼送り,只津,溝口,車,707,なし,①櫻井斗麻,12:40,13:20,
2025-06-10,火,夕迎え,只津,溝口,車,707,なし,①櫻井斗麻 ②林夏渚 ③櫻井帆斗 ④林大希 ⑤富永日向 ⑥櫻井麻智,17:30,18:30,
2025-06-10,火,朝送り,只津,溝口,車,707,なし,①林大希 ②櫻井斗麻 ③富永日向 ④櫻井麻智 ⑤林夏渚 ⑥櫻井帆斗,7:50,8:40,
2025-06-10,火,昼送り,只津,溝口,車,707,なし,①櫻井斗麻 ②林夏渚,12:40,13:20,
2025-06-11,水,夕迎え,只津,溝口,車,707,なし,①富永日向 ②林夏渚 ③溝口一花 ④園田葵 ⑤園田柚真,17:30,18:40,
2025-06-11,水,朝送り,只津,溝口,車,707,なし,①櫻井麻智 ②富永日向 ③溝口一花 ④林夏渚 ⑤櫻井帆斗 ⑥園田柚真 ⑦園田葵,7:45,8:40,
2025-06-12,木,夕迎え,只津,溝口,車,707,なし,①溝口一花 ②櫻井麻智 ③櫻井帆斗 ④富永日向 ⑤園田葵 ⑥園田柚真,17:30,18:40,
2025-06-12,木,朝送り,只津,溝口,車,707,なし,①溝口一花 ②富永日向 ③櫻井麻智 ④櫻井帆斗 ⑤園田葵 ⑥園田柚真,7:50,8:45,
2025-06-13,金,夕迎え,只津,溝口,車,707,なし,①林大希 ②石神直都 ③石神陽菜 ④林夏渚 ⑤富永日向 ⑥園田葵,17:40,18:40,
2025-06-13,金,朝送り,只津,溝口,車,707,なし,①富永日向 ②石神陽菜 ③石神直都 ④林大希 ⑤林夏渚,7:40,8:40,
2025-06-13,金,昼送り,只津,溝口,車,707,なし,①林夏渚 ②石神直都,12:40,13:20,
2025-06-14,土,夕迎え,只津,溝口,車,707,なし,①富永日向 ②林夏渚 ③石神直都 ④笠原英二次 ⑤林大希 ⑥石神陽菜 ⑦櫻井斗麻 ⑧園田葵,17:30,18:40,
2025-06-14,土,朝送り,只津,溝口,車,707,なし,①石神陽菜 ②櫻井斗麻 ③石神直都 ④林大希 ⑤富永日向 ⑥笠原英二次 ⑦林夏渚 ⑧園田葵,7:50,8:40,
2025-06-15,日,夕迎え,只津,溝口,車,707,なし,①櫻井帆斗 ②櫻井麻智 ③櫻井斗麻 ④笠原英二次 ⑤林大希 ⑥寺田菫,17:30,18:40,
2025-06-15,日,朝送り,只津,溝口,車,707,なし,①櫻井斗麻 ②櫻井麻智 ③櫻井帆斗 ④笠原英二次 ⑤林大希 ⑥寺田菫,7:50,8:40,
2025-06-15,日,昼送り,只津,溝口,車,707,なし,①林大希 ②櫻井帆斗 ③櫻井麻智 ④櫻井斗麻 ⑤寺田菫,12:40,13:20,
2025-06-16,月,夕迎え,只津,溝口,車,707,なし,①溝口一花 ②富永日向 ③寺田菫,17:40,18:40,
2025-06-16,月,朝送り,只津,溝口,車,707,なし,①櫻井斗麻 ②溝口一花 ③富永日向 ④櫻井麻智 ⑤櫻井帆斗 ⑥寺田菫,7:45,8:40,
2025-06-16,月,昼送り,只津,溝口,車,707,なし,①櫻井斗麻,12:40,13:20,
2025-06-17,火,夕迎え,只津,溝口,車,707,なし,①櫻井麻智 ②櫻井帆斗 ③林夏渚 ④櫻井斗麻 ⑤溝口一花 ⑥富永日向,17:35,18:30,
2025-06-17,火,朝送り,只津,溝口,車,707,なし,①櫻井帆斗 ②林夏渚 ③櫻井斗麻 ④櫻井麻智 ⑤富永日向 ⑥溝口一花,7:50,8:45,
2025-06-17,火,昼送り,只津,溝口,車,707,なし,①櫻井斗麻 ②林夏渚,12:40,13:20,
2025-06-18,水,夕迎え,只津,溝口,車,707,なし,①林夏渚 ②溝口一花 ③富永日向 ④園田葵 ⑤園田柚真,17:40,18:40,
2025-06-18,水,朝送り,只津,溝口,車,707,なし,①櫻井帆斗 ②富永日向 ③溝口一花 ④林夏渚 ⑤櫻井麻智 ⑥園田柚真 ⑦園田葵,7:45,8:40,
2025-06-19,木,夕迎え,只津,溝口,車,707,なし,①櫻井麻智 ②溝口一花 ③櫻井帆斗 ④富永日向 ⑤園田葵 ⑥園田柚真,17:40,18:40,
2025-06-19,木,朝送り,只津,溝口,車,707,なし,①櫻井麻智 ②富永日向 ③溝口一花 ④園田葵 ⑤園田柚真,7:40,8:40,
2025-06-20,金,夕迎え,只津,溝口,車,707,なし,①富永日向 ②溝口一花 ③林夏渚 ④石神陽菜 ⑤園田葵,17:30,18:40,
2025-06-20,金,朝送り,只津,溝口,車,707,なし,①林夏渚 ②溝口一花 ③富永日向 ④石神陽菜 ⑤園田葵,7:45,8:40,
2025-06-20,金,昼送り,只津,溝口,車,707,なし,①林夏渚 ②溝口一花,12:40,13:20,
2025-06-21,土,夕迎え,只津,溝口,車,707,なし,①富永日向 ②石神陽菜 ③林夏渚 ④鈴木応介 ⑤溝口一花 ⑥櫻井斗麻 ⑦園田葵,17:30,18:40,
