日付,曜日,送迎区分,送迎職員,介助者,送迎方法,車番,点呼確認による異常,利用者,開始時刻,終了時刻,備考
2026-03-01,日,夕迎え,只津,溝口,車,707,なし,①富永日向 ②藤崎柊威 ③藤川結梨 ④松岡蘭 ⑤辻村優樹 ⑥四宮鈴 ⑦石原晴海 ⑧向井永愛 ⑨向井瑠華,17:40,18:40,
2026-03-01,日,朝送り,只津,溝口,車,707,なし,①藤川結梨 ②四宮鈴 ③石原晴海 ④藤崎柊威 ⑤向井永愛 ⑥富永日向 ⑦松岡蘭 ⑧向井瑠華 ⑨辻村優樹,7:40,8:40,
2026-03-01,日,昼送り,只津,溝口,車,707,なし,①向井永愛 ②富永日向 ③四宮鈴 ④向井瑠華 ⑤松岡蘭,12:40,13:20,
2026-03-02,月,夕迎え,只津,溝口,車,707,なし,①藤崎柊威 ②富永日向 ③藤川結梨 ④四宮鈴 ⑤小野凌来 ⑥石原晴海 ⑦辻村優樹 ⑧松岡蘭 ⑨寺田菫,17:35,18:40,
2026-03-02,月,朝送り,只津,溝口,車,707,なし,①辻村優樹 ②藤崎柊威 ③松岡蘭 ④四宮鈴 ⑤小野凌来 ⑥藤川結梨 ⑦富永日向 ⑧石原晴海 ⑨寺田菫,7:40,8:45,
2026-03-03,火,夕迎え,只津,溝口,車,707,なし,①富永日向 ②藤崎柊威 ③藤川結梨 ④松岡蘭 ⑤四宮鈴 ⑥小野凌来 ⑦溝口一花 ⑧石原晴海 ⑨園田葵 ⑩寺田菫,17:30,18:40,
2026-03-03,火,朝送り,只津,溝口,車,707,なし,①富永日向 ②四宮鈴 ③松岡蘭 ④小野凌来 ⑤藤川結梨 ⑥石原晴海 ⑦藤崎柊威 ⑧溝口一花 ⑨寺田菫 ⑩園田葵,7:40,8:40,
2026-03-04,水,夕迎え,只津,溝口,車,707,なし,①香村慧 ②小野凌来 ③笠原英二次 ④松岡蘭 ⑤四宮鈴 ⑥香村快 ⑦辻村優樹 ⑧富永日向 ⑨溝口一花 ⑩園田葵 ⑪寺田菫,17:30,18:40,
2026-03-04,水,朝送り,只津,溝口,車,707,なし,①辻村優樹 ②松岡蘭 ③溝口一花 ④四宮鈴 ⑤小野凌来 ⑥香村快 ⑦富永日向 ⑧香村慧 ⑨笠原英二次 ⑩寺田菫 ⑪園田葵,7:40,8:45,
2026-03-05,木,夕迎え,只津,溝口,車,707,なし,①四宮鈴 ②松岡蘭 ③小野凌来 ④富永日向 ⑤香村快 ⑥香村慧 ⑦笠原英二次 ⑧溝口一花 ⑨辻村優樹 ⑩寺田菫 ⑪園田葵,17:30,18:40,
2026-03-05,木,朝送り,只津,溝口,車,707,なし,①溝口一花 ②辻村優樹 ③香村快 ④富永日向 ⑤香村慧 ⑥小野凌来 ⑦松岡蘭 ⑧笠原英二次 ⑨四宮鈴 ⑩寺田菫 ⑪園田葵,7:50,8:45,
2026-03-06,金,夕迎え,只津,溝口,車,707,なし,①深津 ②香村慧 ③四宮鈴 ④小野凌来 ⑤富永日向 ⑥松岡蘭 ⑦溝口一花 ⑧香村快 ⑨園田葵 ⑩寺田菫,17:40,18:40,
2026-03-06,金,朝送り,只津,溝口,車,707,なし,①香村慧 ②溝口一花 ③四宮鈴 ④富永日向 ⑤小野凌来 ⑥松岡蘭 ⑦深津 ⑧香村快 ⑨寺田菫 ⑩園田葵,7:40,8:40,
2026-03-07,土,夕迎え,只津,溝口,車,707,なし,①溝口一花 ②香村快 ③向井瑠華 ④向井永愛 ⑤深津 ⑥石原晴海 ⑦西原早彩 ⑧香村慧 ⑨小野凌来 ⑩園田柚真 ⑪園田葵 ⑫寺田菫,17:40,18:40,
2026-03-07,土,朝送り,只津,溝口,車,707,なし,①香村慧 ②向井瑠華 ③深津 ④小野凌来 ⑤香村快 ⑥西原早彩 ⑦石原晴海 ⑧向井永愛 ⑨溝口一花 ⑩寺田菫 ⑪園田葵 ⑫園田柚真,7:45,8:40,
2026-03-07,土,昼送り,只津,溝口,車,707,なし,①西原早彩 ②小野凌来 ③深津 ④向井瑠華 ⑤溝口一花 ⑥園田葵 ⑦園田柚真,12:40,13:20,
2026-03-08,日,夕迎え,只津,溝口,車,707,なし,①松岡蘭 ②富永日向 ③向井永愛 ④藤川結梨 ⑤四宮鈴 ⑥溝口一花 ⑦石原晴海 ⑧向井瑠華 ⑨西原早彩 ⑩園田葵 ⑪園田柚真,17:40,18:40,
2026-03-08,日,朝送り,只津,溝口,車,707,なし,①溝口一花 ②向井瑠華 ③石原晴海 ④藤川結梨 ⑤富永日向 ⑥四宮鈴 ⑦松岡蘭 ⑧向井永愛 ⑨西原早彩 ⑩園田柚真 ⑪園田葵,7:40,8:40,
2026-03-08,日,昼送り,只津,溝口,車,707,なし,①松岡蘭 ②藤川結梨 ③向井瑠華 ④園田葵 ⑤園田柚真,12:40,13:20,
2026-03-09,月,夕迎え,只津,溝口,車,707,なし,①小野凌来 ②松岡蘭 ③藤崎柊威 ④富永日向 ⑤溝口一花 ⑥四宮鈴 ⑦藤川結梨 ⑧西原早彩 ⑨寺田菫,17:40,18:40,
2026-03-09,月,朝送り,只津,溝口,車,707,なし,①富永日向 ②藤川結梨 ③四宮鈴 ④松岡蘭 ⑤藤崎柊威 ⑥溝口一花 ⑦西原早彩 ⑧小野凌来 ⑨寺田菫,7:50,8:45,
