日付,曜日,送迎区分,送迎職員,介助者,送迎方法,車番,点呼確認による異常,利用者,開始時刻,終了時刻,備考
2026-01-01,木,夕迎え,只津,溝口,車,707,なし,①上田大和 ②四宮鈴 ③富永日向 ④上田海琴 ⑤松岡蘭 ⑥上田千愛 ⑦小松島駿俊汰,17:30,18:40,
2026-01-01,木,朝送り,只津,溝口,車,707,なし,①四宮鈴 ②上田大和 ③上田海琴 ④松岡蘭 ⑤富永日向 ⑥小松島駿俊汰 ⑦上田千愛,7:40,8:40,
2026-01-01,木,昼送り,只津,溝口,車,707,なし,①小松島駿俊汰,12:40,13:20,
2026-01-02,金,夕迎え,只津,溝口,車,707,なし,①上田海琴 ②小松島駿俊汰 ③林夏渚 ④石神陽菜 ⑤松岡蘭 ⑥香村慧 ⑦富永日向 ⑧上田千愛 ⑨林大希 ⑩香村快 ⑪四宮鈴 ⑫上田大和 ⑬園田葵,17:40,18:40,
2026-01-02,金,朝送り,只津,溝口,車,707,なし,①小松島駿俊汰 ②石神陽菜 ③四宮鈴 ④香村慧 ⑤上田大和 ⑥林夏渚 ⑦林大希 ⑧松岡蘭 ⑨上田海琴 ⑩上田千愛 ⑪富永日向,7:40,8:45,
2026-01-02,金,昼送り,只津,溝口,車,707,なし,①小松島駿俊汰,12:40,13:20,
2026-01-03,土,夕迎え,只津,溝口,車,707,なし,①櫻井斗麻 ②香村慧 ③四宮鈴 ④石神陽菜 ⑤溝口一花 ⑥香村快 ⑦林大希 ⑧林夏渚 ⑨園田葵 ⑩園田柚真 ⑪寺田菫,17:35,18:40,
2026-01-03,土,朝送り,只津,溝口,車,707,なし,①香村慧 ②四宮鈴 ③櫻井斗麻 ④石神陽菜 ⑤香村快 ⑥林大希 ⑦溝口一花 ⑧林夏渚 ⑨園田葵 ⑩園田柚真 ⑪寺田菫,7:40,8:40,
2026-01-03,土,昼送り,只津,溝口,車,707,なし,①溝口一花,12:40,13:20,
2026-01-04,日,夕迎え,只津,溝口,車,707,なし,①小松島咲花 ②溝口一花 ③櫻井斗麻 ④上田海琴 ⑤林大希 ⑥上田千愛 ⑦小松島駿俊汰 ⑧四宮鈴 ⑨上田大和 ⑩富永日向 ⑪寺田菫 ⑫園田柚真,17:35,18:40,
2026-01-04,日,朝送り,只津,溝口,車,707,なし,①櫻井斗麻 ②林大希 ③上田海琴 ④上田大和 ⑤上田千愛 ⑥小松島駿俊汰 ⑦溝口一花 ⑧富永日向 ⑨四宮鈴 ⑩小松島咲花 ⑪寺田菫 ⑫園田柚真,7:45,8:45,
2026-01-04,日,昼送り,只津,溝口,車,707,なし,①林大希 ②櫻井斗麻 ③溝口一花 ④上田大和 ⑤上田千愛 ⑥四宮鈴 ⑦小松島駿俊汰 ⑧富永日向 ⑨小松島咲花 ⑩園田柚真 ⑪寺田菫,12:40,13:20,
