日付,曜日,送迎区分,送迎職員,介助者,送迎方法,車番,点呼確認による異常,利用者,開始時刻,終了時刻,備考
2025-10-01,水,夕迎え,只津,溝口,車,707,なし,①溝口一花 ②林夏渚 ③藤川結梨 ④小野凌来,17:30,18:20,
2025-10-01,水,朝送り,只津,溝口,車,707,なし,①櫻井麻智 ②藤川結梨 ③櫻井帆斗 ④溝口一花 ⑤小野凌来 ⑥林夏渚,7:40,8:40,
2025-10-02,木,夕迎え,只津,溝口,車,707,なし,①櫻井斗麻 ②溝口一花 ③小野凌来 ④藤川結梨 ⑤上田大和 ⑥櫻井麻智 ⑦櫻井帆斗 ⑧笠原英二次 ⑨林夏渚 ⑩富永日向 ⑪寺田菫,17:30,18:40,
2025-10-02,木,朝送り,只津,溝口,車,707,なし,①櫻井斗麻 ②小野凌来 ③藤川結梨 ④林夏渚 ⑤富永日向 ⑥上田大和 ⑦櫻井麻智 ⑧櫻井帆斗 ⑨笠原英二次 ⑩寺田菫,7:40,8:40,
2025-10-03,金,夕迎え,只津,溝口,車,707,なし,①藤川結梨 ②石神陽菜 ③石原晴海 ④林大希 ⑤小野凌来 ⑥上田大和 ⑦林夏渚 ⑧笠原英二次 ⑨富永日向 ⑩櫻井斗麻 ⑪寺田菫 ⑫園田葵,17:40,18:40,
2025-10-03,金,朝送り,只津,溝口,車,707,なし,①櫻井斗麻 ②藤川結梨 ③石原晴海 ④小野凌来 ⑤林大希 ⑥上田大和 ⑦林夏渚 ⑧富永日向 ⑨笠原英二次 ⑩石神陽菜 ⑪寺田菫 ⑫園田葵,7:50,8:40,
2025-10-03,金,昼送り,只津,溝口,車,707,なし,①林夏渚,12:40,13:20,
2025-10-04,土,夕迎え,只津,溝口,車,707,なし,①櫻井斗麻 ②林大希 ③石神陽菜 ④林夏渚 ⑤小野凌来 ⑥石原晴海 ⑦富永日向 ⑧寺田菫 ⑨園田葵 ⑩園田柚真,17:35,18:40,
2025-10-04,土,朝送り,只津,溝口,車,707,なし,①富永日向 ②石原晴海 ③石神陽菜 ④小野凌来 ⑤林夏渚 ⑥櫻井斗麻 ⑦園田葵,7:40,8:45,
2025-10-04,土,昼送り,只津,溝口,車,707,なし,①石原晴海 ②櫻井斗麻 ③石神陽菜,12:40,13:20,
2025-10-05,日,夕迎え,只津,溝口,車,707,なし,①富永日向 ②石神陽菜 ③林大希 ④石神直都 ⑤小松島咲花 ⑥石原晴海 ⑦櫻井斗麻 ⑧小松島駿俊汰 ⑨寺田菫 ⑩園田柚真 ⑪園田葵,17:40,18:40,
2025-10-05,日,朝送り,只津,溝口,車,707,なし,①林大希 ②小松島駿俊汰 ③櫻井斗麻 ④石神陽菜 ⑤小松島咲花 ⑥富永日向 ⑦石神直都 ⑧石原晴海 ⑨寺田菫 ⑩園田柚真 ⑪園田葵,7:40,8:45,
2025-10-05,日,昼送り,只津,溝口,車,707,なし,①林大希 ②石原晴海 ③石神陽菜 ④石神直都 ⑤櫻井斗麻 ⑥寺田菫 ⑦園田柚真,12:40,13:20,
2025-10-06,月,夕迎え,只津,溝口,車,707,なし,①小松島咲花 ②石原晴海 ③溝口一花 ④石神陽菜 ⑤石神直都 ⑥小松島駿俊汰 ⑦小野凌来 ⑧園田葵 ⑨寺田菫,17:35,18:40,
2025-10-06,月,朝送り,只津,溝口,車,707,なし,①石神陽菜 ②櫻井斗麻 ③石神直都 ④小松島駿俊汰 ⑤櫻井麻智 ⑥溝口一花 ⑦小松島咲花 ⑧石原晴海 ⑨小野凌来 ⑩櫻井帆斗 ⑪園田葵 ⑫寺田菫,7:50,8:40,
2025-10-06,月,昼送り,只津,溝口,車,707,なし,①石神直都 ②石神陽菜,12:40,13:20,
2025-10-07,火,夕迎え,只津,溝口,車,707,なし,①小松島駿俊汰 ②櫻井帆斗 ③櫻井麻智 ④富永日向 ⑤石神直都 ⑥小野凌来 ⑦櫻井斗麻 ⑧石原晴海 ⑨溝口一花 ⑩園田柚真 ⑪園田葵 ⑫寺田菫,17:40,18:40,
2025-10-07,火,朝送り,只津,溝口,車,707,なし,①溝口一花 ②櫻井斗麻 ③富永日向 ④石神直都 ⑤石原晴海 ⑥櫻井帆斗 ⑦小野凌来 ⑧小松島駿俊汰 ⑨櫻井麻智 ⑩園田葵 ⑪園田柚真 ⑫寺田菫,7:50,8:40,
2025-10-08,水,夕迎え,只津,溝口,車,707,なし,①小野凌来 ②松岡蘭 ③富永日向 ④小松島駿俊汰 ⑤石神直都 ⑥溝口一花 ⑦石原晴海 ⑧林夏渚 ⑨園田葵 ⑩園田柚真,17:40,18:40,
2025-10-08,水,朝送り,只津,溝口,車,707,なし,①櫻井麻智 ②小松島駿俊汰 ③溝口一花 ④石原晴海 ⑤林夏渚 ⑥松岡蘭 ⑦櫻井帆斗 ⑧富永日向 ⑨石神直都 ⑩園田柚真 ⑪園田葵,7:40,8:40,
2025-10-08,水,昼送り,只津,溝口,車,707,なし,①松岡蘭,12:40,13:20,
2025-10-09,木,夕迎え,只津,溝口,車,707,なし,①小野凌来 ②櫻井斗麻 ③林夏渚 ④櫻井麻智 ⑤上田大和 ⑥藤川結梨 ⑦櫻井帆斗 ⑧溝口一花 ⑨富永日向 ⑩笠原英二次 ⑪松岡蘭 ⑫寺田菫,17:40,18:40,
2025-10-09,木,朝送り,只津,溝口,車,707,なし,①上田大和 ②松岡蘭 ③櫻井帆斗 ④藤川結梨 ⑤櫻井麻智 ⑥笠原英二次 ⑦富永日向 ⑧櫻井斗麻 ⑨溝口一花 ⑩林夏渚 ⑪小野凌来 ⑫寺田菫,7:45,8:45,
2025-10-09,木,昼送り,只津,溝口,車,707,なし,①櫻井麻智,12:40,13:20,
2025-10-10,金,夕迎え,只津,溝口,車,707,なし,①石神陽菜 ②林夏渚 ③林大希 ④藤川結梨 ⑤櫻井斗麻 ⑥上田海琴 ⑦上田千愛 ⑧笠原英二次 ⑨富永日向 ⑩上田大和 ⑪寺田菫 ⑫園田葵,17:30,18:40,
2025-10-10,金,朝送り,只津,溝口,車,707,なし,①林夏渚 ②林大希 ③笠原英二次 ④石神陽菜 ⑤櫻井斗麻 ⑥上田海琴 ⑦藤川結梨 ⑧上田大和 ⑨富永日向 ⑩上田千愛 ⑪寺田菫 ⑫園田葵,7:50,8:40,
2025-10-10,金,昼送り,只津,溝口,車,707,なし,①林夏渚,12:40,13:20,
2025-10-11,土,夕迎え,只津,溝口,車,707,なし,①林大希 ②富永日向 ③上田千愛 ④石原晴海 ⑤櫻井斗麻 ⑥林夏渚 ⑦上田海琴 ⑧石神陽菜 ⑨園田柚真 ⑩園田葵 ⑪寺田菫,17:35,18:40,
2025-10-11,土,朝送り,只津,溝口,車,707,なし,①富永日向 ②上田海琴 ③櫻井斗麻 ④林大希 ⑤上田千愛 ⑥石神陽菜 ⑦林夏渚 ⑧石原晴海 ⑨園田柚真 ⑩園田葵 ⑪寺田菫,7:40,8:40,
2025-10-11,土,昼送り,只津,溝口,車,707,なし,①石神陽菜 ②石原晴海,12:40,13:20,
2025-10-12,日,夕迎え,只津,溝口,車,707,なし,①小松島駿俊汰 ②富永日向 ③櫻井斗麻 ④石原晴海 ⑤林夏渚 ⑥林大希 ⑦小松島咲花 ⑧園田柚真 ⑨寺田菫 ⑩園田葵,17:30,18:40,
2025-10-12,日,朝送り,只津,溝口,車,707,なし,①小松島咲花 ②小松島駿俊汰 ③林大希 ④櫻井斗麻 ⑤林夏渚 ⑥富永日向 ⑦石原晴海 ⑧園田葵 ⑨寺田菫 ⑩園田柚真,7:40,8:45,
2025-10-12,日,昼送り,只津,溝口,車,707,なし,①林夏渚 ②櫻井斗麻 ③林大希 ④寺田菫 ⑤園田柚真,12:40,13:20,
2025-10-13,月,夕迎え,只津,溝口,車,707,なし,①小野凌来 ②林夏渚 ③溝口一花 ④小松島駿俊汰 ⑤小松島咲花 ⑥松岡蘭 ⑦石原晴海 ⑧園田葵 ⑨寺田菫,17:35,18:40,
2025-10-13,月,朝送り,只津,溝口,車,707,なし,①小松島駿俊汰 ②小野凌来 ③小松島咲花 ④松岡蘭 ⑤溝口一花 ⑥石原晴海 ⑦櫻井帆斗 ⑧櫻井斗麻 ⑨林夏渚 ⑩櫻井麻智 ⑪園田葵 ⑫寺田菫,7:40,8:40,
2025-10-13,月,昼送り,只津,溝口,車,707,なし,①櫻井帆斗 ②林夏渚 ③櫻井麻智,12:40,13:20,
2025-10-14,火,夕迎え,只津,溝口,車,707,なし,①石神直都 ②小松島駿俊汰 ③小松島咲花 ④櫻井麻智 ⑤富永日向 ⑥櫻井帆斗 ⑦小野凌来 ⑧櫻井斗麻 ⑨溝口一花 ⑩上田大和 ⑪松岡蘭 ⑫寺田菫 ⑬園田葵,17:30,18:40,
2025-10-14,火,朝送り,只津,溝口,車,707,なし,①櫻井斗麻 ②櫻井帆斗 ③小松島駿俊汰 ④溝口一花 ⑤松岡蘭 ⑥上田大和 ⑦櫻井麻智 ⑧小野凌来 ⑨富永日向 ⑩石神直都 ⑪寺田菫 ⑫園田葵,7:45,8:45,
2025-10-14,火,昼送り,只津,溝口,車,707,なし,①松岡蘭,12:40,13:20,
2025-10-15,水,夕迎え,只津,溝口,車,707,なし,①上田大和 ②石神直都 ③溝口一花 ④四宮鈴 ⑤富永日向 ⑥林夏渚 ⑦小野凌来 ⑧小松島咲花 ⑨小松島駿俊汰 ⑩園田葵,17:30,18:40,
2025-10-15,水,朝送り,只津,溝口,車,707,なし,①四宮鈴 ②石神直都 ③櫻井帆斗 ④小松島咲花 ⑤林夏渚 ⑥上田大和 ⑦富永日向 ⑧櫻井麻智 ⑨小松島駿俊汰 ⑩園田葵,7:40,8:40,
2025-10-15,水,昼送り,只津,溝口,車,707,なし,①四宮鈴,12:40,13:20,
2025-10-16,木,夕迎え,只津,溝口,車,707,なし,①溝口一花 ②櫻井帆斗 ③小野凌来 ④櫻井麻智 ⑤上田大和 ⑥富永日向 ⑦四宮鈴 ⑧林夏渚 ⑨藤川結梨,17:30,18:30,
