日付,曜日,送迎区分,送迎職員,介助者,送迎方法,車番,点呼確認による異常,利用者,開始時刻,終了時刻,備考
2025-08-02,土,夕迎え,只津,溝口,車,707,なし,①鈴木応介 ②上田海琴,17:30,18:40,
2025-08-02,土,朝送り,只津,溝口,車,707,なし,①上田海琴 ②鈴木応介,7:40,8:40,
2025-08-03,日,夕迎え,只津,溝口,車,707,なし,①鈴木応介 ②上田海琴,17:40,18:20,
2025-08-03,日,朝送り,只津,溝口,車,707,なし,①鈴木応介 ②上田海琴,7:50,8:45,
2025-08-03,日,昼送り,只津,溝口,車,707,なし,①上田海琴,12:40,13:20,
2025-08-04,月,夕迎え,只津,溝口,車,707,なし,①上田海琴,17:30,18:20,
2025-08-04,月,朝送り,只津,溝口,車,707,なし,①上田海琴,7:40,8:40,
2025-08-05,火,夕迎え,只津,溝口,車,707,なし,①松岡蘭 ②小松島駿俊汰 ③小松島咲花 ④上田大和 ⑤上田海琴,17:40,18:40,
2025-08-05,火,朝送り,只津,溝口,車,707,なし,①小松島咲花 ②上田海琴 ③上田大和 ④小松島駿俊汰 ⑤松岡蘭,7:50,8:45,
2025-08-06,水,夕迎え,只津,溝口,車,707,なし,①小松島駿俊汰 ②小松島咲花 ③松岡蘭 ④上田大和,17:35,18:30,
2025-08-06,水,朝送り,只津,溝口,車,707,なし,①小松島駿俊汰 ②松岡蘭 ③上田大和 ④小松島咲花,7:40,8:40,
2025-08-07,木,夕迎え,只津,溝口,車,707,なし,①松岡蘭 ②小松島咲花 ③上田海琴 ④上田大和 ⑤小松島駿俊汰,17:40,18:30,
2025-08-07,木,朝送り,只津,溝口,車,707,なし,①上田海琴 ②松岡蘭 ③小松島咲花 ④小松島駿俊汰 ⑤上田大和,7:45,8:40,
2025-08-08,金,夕迎え,只津,溝口,車,707,なし,①上田大和 ②上田海琴 ③小松島駿俊汰 ④小松島咲花 ⑤松岡蘭,17:40,18:20,
2025-08-08,金,朝送り,只津,溝口,車,707,なし,①上田海琴 ②小松島駿俊汰 ③小松島咲花 ④松岡蘭 ⑤上田大和,7:45,8:40,
2025-08-09,土,夕迎え,只津,溝口,車,707,なし,①鈴木応介 ②上田海琴,17:30,18:30,
2025-08-09,土,朝送り,只津,溝口,車,707,なし,①上田海琴 ②鈴木応介,7:45,8:45,
2025-08-10,日,夕迎え,只津,溝口,車,707,なし,①鈴木応介 ②上田海琴,17:35,18:30,
2025-08-10,日,朝送り,只津,溝口,車,707,なし,①鈴木応介 ②上田海琴,7:50,8:45,
2025-08-10,日,昼送り,只津,溝口,車,707,なし,①上田海琴,12:40,13:20,
2025-08-11,月,夕迎え,只津,溝口,車,707,なし,①上田海琴,17:40,18:40,
2025-08-12,火,夕迎え,只津,溝口,車,707,なし,①小松島駿俊汰 ②松岡蘭 ③小松島咲花 ④上田海琴 ⑤上田大和,17:30,18:30,
2025-08-12,火,朝送り,只津,溝口,車,707,なし,①上田海琴 ②上田大和 ③松岡蘭 ④小松島咲花 ⑤小松島駿俊汰,7:50,8:45,
2025-08-13,水,夕迎え,只津,溝口,車,707,なし,①小松島咲花 ②小松島駿俊汰 ③松岡蘭 ④上田大和,17:35,18:30,
2025-08-13,水,朝送り,只津,溝口,車,707,なし,①松岡蘭 ②上田大和 ③小松島駿俊汰,7:40,8:45,
2025-08-14,木,夕迎え,只津,溝口,車,707,なし,①上田大和 ②松岡蘭 ③小松島駿俊汰 ④小松島咲花,17:35,18:40,
2025-08-14,木,朝送り,只津,溝口,車,707,なし,①小松島駿俊汰 ②小松島咲花 ③上田大和 ④松岡蘭,7:40,8:40,
2025-08-15,金,夕迎え,只津,溝口,車,707,なし,①上田大和 ②小松島咲花 ③松岡蘭 ④小松島駿俊汰,17:40,18:30,
2025-08-15,金,朝送り,只津,溝口,車,707,なし,①松岡蘭 ②小松島咲花 ③小松島駿俊汰,7:40,8:45,
2025-08-16,土,夕迎え,只津,溝口,車,707,なし,①上田海琴,17:30,18:20,
2025-08-16,土,朝送り,只津,溝口,車,707,なし,①上田海琴,7:40,8:40,
2025-08-17,日,夕迎え,只津,溝口,車,707,なし,①上田海琴,17:40,18:20,
2025-08-17,日,朝送り,只津,溝口,車,707,なし,①上田海琴,7:50,8:45,
2025-08-17,日,昼送り,只津,溝口,車,707,なし,①上田海琴,12:40,13:20,
2025-08-18,月,夕迎え,只津,溝口,車,707,なし,①上田海琴,17:40,18:20,
2025-08-18,月,朝送り,只津,溝口,車,707,なし,①上田海琴,7:45,8:45,
2025-08-19,火,夕迎え,只津,溝口,車,707,なし,①上田大和 ②上田海琴 ③小松島咲花 ④小松島駿俊汰 ⑤松岡蘭,17:40,18:20,
2025-08-19,火,朝送り,只津,溝口,車,707,なし,①松岡蘭 ②上田海琴 ③小松島駿俊汰 ④小松島咲花 ⑤上田大和,7:40,8:45,
2025-08-20,水,夕迎え,只津,溝口,車,707,なし,①小松島駿俊汰 ②小松島咲花 ③上田大和 ④松岡蘭,17:30,18:40,
2025-08-20,水,朝送り,只津,溝口,車,707,なし,①小松島咲花 ②上田大和 ③松岡蘭 ④小松島駿俊汰,7:50,8:40,
2025-08-21,木,夕迎え,只津,溝口,車,707,なし,①松岡蘭 ②小松島駿俊汰 ③上田大和 ④上田海琴 ⑤小松島咲花,17:30,18:40,
2025-08-21,木,朝送り,只津,溝口,車,707,なし,①松岡蘭 ②上田海琴 ③小松島駿俊汰 ④上田大和,7:45,8:40,
2025-08-22,金,夕迎え,只津,溝口,車,707,なし,①小松島駿俊汰 ②松岡蘭 ③上田海琴 ④小松島咲花 ⑤上田大和,17:30,18:20,
2025-08-22,金,朝送り,只津,溝口,車,707,なし,①小松島咲花 ②上田海琴 ③小松島駿俊汰 ④上田大和 ⑤松岡蘭,7:40,8:40,
2025-08-22,金,昼送り,只津,溝口,車,707,なし,①松岡蘭,12:40,13:20,
2025-08-23,土,夕迎え,只津,溝口,車,707,なし,①上田海琴,17:30,18:40,
2025-08-23,土,朝送り,只津,溝口,車,707,なし,①上田海琴,7:45,8:40,
2025-08-24,日,夕迎え,只津,溝口,車,707,なし,①上田海琴,17:35,18:40,
2025-08-24,日,朝送り,只津,溝口,車,707,なし,①上田海琴,7:50,8:45,
2025-08-24,日,昼送り,只津,溝口,車,707,なし,①上田海琴,12:40,13:20,
2025-08-26,火,夕迎え,只津,溝口,車,707,なし,①松岡蘭 ②上田大和 ③小松島駿俊汰 ④小松島咲花,17:40,18:30,
2025-08-26,火,朝送り,只津,溝口,車,707,なし,①上田大和 ②小松島咲花 ③小松島駿俊汰 ④松岡蘭,7:45,8:45,
2025-08-27,水,夕迎え,只津,溝口,車,707,なし,①小松島咲花 ②小松島駿俊汰 ③松岡蘭 ④上田大和,17:30,18:30,
2025-08-27,水,朝送り,只津,溝口,車,707,なし,①小松島咲花 ②松岡蘭 ③小松島駿俊汰 ④上田大和,7:50,8:40,
2025-08-28,木,夕迎え,只津,溝口,車,707,なし,①上田海琴 ②松岡蘭 ③上田大和,17:40,18:40,
2025-08-28,木,朝送り,只津,溝口,車,707,なし,①上田海琴 ②松岡蘭 ③上田大和,7:40,8:40,
2025-08-29,金,夕迎え,只津,溝口,車,707,なし,①松岡蘭 ②上田大和 ③上田海琴,17:40,18:20,
2025-08-29,金,朝送り,只津,溝口,車,707,なし,①上田大和 ②松岡蘭 ③上田海琴,7:40,8:40,
2025-08-30,土,夕迎え,只津,溝口,車,707,なし,①上田海琴 ②鈴木応介,17:30,18:30,
2025-08-30,土,朝送り,只津,溝口,車,707,なし,①上田海琴 ②鈴木応介,7:40,8:40,
2025-08-31,日,夕迎え,只津,溝口,車,707,なし,①鈴木応介 ②上田海琴,17:40,18:30,
2025-08-31,日,朝送り,只津,溝口,車,707,なし,①上田海琴 ②鈴木応介,7:45,8:45,
2025-08-31,日,昼送り,只津,溝口,車,707,なし,①上田海琴,12:40,13:20,
