日付,曜日,送迎区分,送迎職員,介助者,送迎方法,車番,点呼確認による異常,利用者,開始時刻,終了時刻,備考
2025-11-01,土,夕迎え,只津,溝口,車,707,なし,①櫻井斗麻 ②林大希 ③石原晴海 ④富永日向 ⑤寺田菫 ⑥園田柚真,17:30,18:40,
2025-11-01,土,朝送り,只津,溝口,車,707,なし,①石原晴海 ②富永日向 ③櫻井斗麻 ④林大希 ⑤園田柚真,7:50,8:40,
2025-11-01,土,昼送り,只津,溝口,車,707,なし,①石原晴海,12:40,13:20,
2025-11-02,日,夕迎え,只津,溝口,車,707,なし,①林夏渚 ②林大希 ③石神直都 ④石神陽菜 ⑤富永日向 ⑥櫻井斗麻 ⑦石原晴海 ⑧園田葵 ⑨寺田菫 ⑩園田柚真,17:40,18:40,
2025-11-02,日,朝送り,只津,溝口,車,707,なし,①林大希 ②石神陽菜 ③富永日向 ④櫻井斗麻 ⑤石原晴海 ⑥石神直都 ⑦林夏渚 ⑧園田柚真 ⑨園田葵 ⑩寺田菫,7:40,8:40,
2025-11-02,日,昼送り,只津,溝口,車,707,なし,①石原晴海 ②富永日向 ③林夏渚 ④林大希 ⑤櫻井斗麻 ⑥石神直都 ⑦寺田菫 ⑧園田柚真,12:40,13:20,
2025-11-03,月,夕迎え,只津,溝口,車,707,なし,①石神直都 ②溝口一花 ③小野凌来 ④石原晴海 ⑤富永日向 ⑥林夏渚 ⑦石神陽菜 ⑧園田葵 ⑨寺田菫,17:35,18:40,
2025-11-03,月,朝送り,只津,溝口,車,707,なし,①林夏渚 ②溝口一花 ③小野凌来 ④石原晴海 ⑤石神直都 ⑥櫻井帆斗 ⑦櫻井麻智 ⑧富永日向 ⑨櫻井斗麻 ⑩石神陽菜 ⑪園田葵 ⑫寺田菫,7:50,8:45,
2025-11-03,月,昼送り,只津,溝口,車,707,なし,①石神直都,12:40,13:20,
2025-11-04,火,夕迎え,只津,溝口,車,707,なし,①小野凌来 ②溝口一花 ③櫻井斗麻 ④小松島咲花 ⑤櫻井麻智 ⑥櫻井帆斗 ⑦上田大和 ⑧上田海琴 ⑨小松島駿俊汰 ⑩石神直都 ⑪寺田菫 ⑫園田葵,17:35,18:40,
2025-11-04,火,朝送り,只津,溝口,車,707,なし,①上田大和 ②小松島駿俊汰 ③石神直都 ④櫻井斗麻 ⑤溝口一花 ⑥小松島咲花 ⑦上田海琴 ⑧櫻井帆斗 ⑨櫻井麻智 ⑩小野凌来 ⑪寺田菫 ⑫園田葵,7:50,8:40,
2025-11-05,水,夕迎え,只津,溝口,車,707,なし,①林夏渚 ②上田千愛 ③小松島駿俊汰 ④上田海琴 ⑤小野凌来 ⑥溝口一花 ⑦上田大和 ⑧小松島咲花 ⑨石神直都 ⑩園田葵,17:40,18:40,
2025-11-05,水,朝送り,只津,溝口,車,707,なし,①小松島駿俊汰 ②石神直都 ③上田大和 ④櫻井麻智 ⑤上田海琴 ⑥溝口一花 ⑦櫻井帆斗 ⑧小松島咲花 ⑨上田千愛 ⑩小野凌来 ⑪園田葵,7:40,8:45,
2025-11-06,木,夕迎え,只津,溝口,車,707,なし,①上田千愛 ②笠原英二次 ③林夏渚 ④小野凌来 ⑤櫻井麻智 ⑥小松島咲花 ⑦富永日向 ⑧溝口一花 ⑨櫻井帆斗 ⑩櫻井斗麻 ⑪小松島駿俊汰 ⑫寺田菫,17:40,18:40,
2025-11-06,木,朝送り,只津,溝口,車,707,なし,①櫻井斗麻 ②小松島咲花 ③上田千愛 ④小松島駿俊汰 ⑤小野凌来 ⑥櫻井麻智 ⑦富永日向 ⑧林夏渚 ⑨笠原英二次 ⑩櫻井帆斗 ⑪溝口一花 ⑫寺田菫,7:40,8:40,
2025-11-07,金,夕迎え,只津,溝口,車,707,なし,①富永日向 ②溝口一花 ③笠原英二次 ④櫻井斗麻 ⑤櫻井帆斗 ⑥石神陽菜 ⑦林夏渚 ⑧小松島咲花 ⑨櫻井麻智 ⑩小松島駿俊汰 ⑪寺田菫,17:40,18:40,
